supplier_id,s_rating,esg_status,code_of_conduct,assessment_date,compliance_status
SUP001,92,Compliant,Accepted,2026-01-15,Compliant
SUP002,78,Compliant,Accepted,2026-01-18,Compliant
SUP003,55,Non-Compliant,Not Accepted,2026-01-20,Non-Compliant
SUP004,,Pending,Pending,2026-01-22,Pending
SUP005,88,Compliant,Accepted,2026-01-25,Compliant
SUP006,63,Pending,Accepted,2026-01-28,Review Required
SUP007,48,Non-Compliant,Not Accepted,2026-02-01,Non-Compliant
SUP008,85,Compliant,Accepted,2026-02-03,Compliant
SUP009,91,Compliant,Accepted,2026-02-05,Compliant
SUP010,72,Pending,Accepted,2026-02-08,Review Required
SUP011,59,Non-Compliant,Not Accepted,2026-02-10,Non-Compliant
SUP012,55,Non-Compliant,Not Accepted,2026-02-12,Non-Compliant
SUP013,87,Compliant,Accepted,2026-02-15,Compliant
SUP014,69,Pending,Pending,2026-02-18,Pending
SUP015,81,Compliant,Accepted,2026-02-20,Compliant
