order_id,supplier_id,order_date,expected_delivery,actual_delivery,quantity,order_value,delay_days,lead_time_days,delivery_status
ORD001,SUP001,2026-01-05,2026-01-12,2026-01-12,100,15000,0,7,On Time
ORD002,SUP001,2026-02-10,2026-02-17,2026-02-18,120,18000,1,8,Delayed
ORD003,SUP002,2026-01-08,2026-01-15,2026-01-17,80,12000,2,9,Delayed
ORD004,SUP002,2026-02-12,2026-02-19,2026-02-19,90,13500,0,7,On Time
ORD005,SUP003,2026-01-10,2026-01-20,2026-01-28,70,9000,8,18,Significant Delay
ORD006,SUP003,2026-02-15,2026-02-25,2026-03-02,65,8500,5,15,Significant Delay
ORD007,SUP004,2026-01-12,2026-01-19,2026-01-19,110,14000,0,7,On Time
ORD008,SUP004,2026-02-18,2026-02-25,2026-02-27,100,13000,2,9,Delayed
ORD009,SUP005,2026-01-15,2026-01-22,2026-01-21,150,25000,-1,6,On Time
ORD010,SUP005,2026-02-20,2026-02-27,2026-02-27,160,27000,0,7,On Time
ORD011,SUP006,2026-01-18,2026-01-25,2026-01-30,95,16000,5,12,Significant Delay
ORD012,SUP006,2026-02-22,2026-03-01,2026-03-03,90,15000,2,9,Delayed
ORD013,SUP007,2026-01-20,2026-01-27,2026-02-05,60,8000,9,16,Significant Delay
ORD014,SUP007,2026-02-25,2026-03-04,2026-03-12,55,7500,8,15,Significant Delay
ORD015,SUP008,2026-01-22,2026-01-29,2026-01-29,130,22000,0,7,On Time
ORD016,SUP008,2026-02-27,2026-03-06,2026-03-06,140,24000,0,7,On Time
ORD017,SUP009,2026-01-25,2026-02-01,2026-02-01,200,30000,0,7,On Time
ORD018,SUP009,2026-02-28,2026-03-07,2026-03-08,180,28000,1,8,Delayed
ORD019,SUP010,2026-01-28,2026-02-04,2026-02-06,75,11000,2,9,Delayed
ORD020,SUP010,2026-03-01,2026-03-08,2026-03-08,85,12500,0,7,On Time
ORD021,SUP011,2026-02-01,2026-02-08,2026-02-15,90,14000,7,14,Significant Delay
ORD022,SUP011,2026-03-05,2026-03-12,2026-03-20,95,15000,8,15,Significant Delay
ORD023,SUP012,2026-02-03,2026-02-10,2026-02-18,65,9500,8,15,Significant Delay
ORD024,SUP012,2026-03-06,2026-03-13,2026-03-21,70,10000,8,15,Significant Delay
ORD025,SUP013,2026-02-05,2026-02-12,2026-02-12,170,26000,0,7,On Time
ORD026,SUP013,2026-03-10,2026-03-17,2026-03-18,175,27000,1,8,Delayed
ORD027,SUP014,2026-02-08,2026-02-15,2026-02-20,80,13000,5,12,Significant Delay
ORD028,SUP014,2026-03-12,2026-03-19,2026-03-25,85,14000,6,13,Significant Delay
ORD029,SUP015,2026-02-10,2026-02-17,2026-02-17,125,19000,0,7,On Time
ORD030,SUP015,2026-03-15,2026-03-22,2026-03-22,130,20000,0,7,On Time
