supplier_id,supplier_name,country_code,duns_number,registration_status,duns_status,registration_quality,duplicate_supplier,total_orders,total_quantity,total_order_value,average_lead_time_days,average_delay_days,on_time_delivery_rate,s_rating,esg_status,code_of_conduct,assessment_date,compliance_status,supplier_risk,performance_score,supplier_rank
SUP007,Supplier MNO GmbH,DE,,Incomplete,Missing,Incomplete,False,2,115,15500,15.5,8.5,0.0,48.0,Non-Compliant,Not Accepted,2026-02-01,Non-Compliant,High Risk,24.0,15
SUP004,Supplier DEF s.r.o.,SK,456789123.0,Incomplete,Invalid,Incomplete,False,2,210,27000,8.0,1.0,50.0,,Pending,Pending,2026-01-22,Pending,High Risk,25.0,14
SUP003,Supplier XYZ S.L.,ES,,Incomplete,Missing,Incomplete,True,2,135,17500,16.5,6.5,0.0,55.0,Non-Compliant,Not Accepted,2026-01-20,Non-Compliant,High Risk,27.5,12
SUP012,Supplier XYZ S.L.,ES,,Incomplete,Missing,Incomplete,True,2,135,19500,15.0,8.0,0.0,55.0,Non-Compliant,Not Accepted,2026-02-12,Non-Compliant,High Risk,27.5,12
SUP011,Supplier UVW S.L.,ES,912345678.0,Complete,Invalid,Complete,False,2,185,29000,14.5,7.5,0.0,59.0,Non-Compliant,Not Accepted,2026-02-10,Non-Compliant,High Risk,29.5,11
SUP006,Supplier JKL AG,CH,678912345.0,Complete,Invalid,Complete,False,2,185,31000,10.5,3.5,0.0,63.0,Pending,Accepted,2026-01-28,Review Required,High Risk,31.5,10
SUP014,Supplier TUV AG,CH,,Incomplete,Missing,Incomplete,False,2,165,27000,12.5,5.5,0.0,69.0,Pending,Pending,2026-02-18,Pending,High Risk,34.5,9
SUP010,Supplier RST s.r.o.,CZ,891234567.0,Complete,Invalid,Complete,False,2,160,23500,8.0,1.0,50.0,72.0,Pending,Accepted,2026-02-08,Review Required,High Risk,61.0,8
SUP002,Supplier ABC s.r.o.,CZ,234567891.0,Complete,Invalid,Complete,False,2,170,25500,8.0,1.0,50.0,78.0,Compliant,Accepted,2026-01-18,Compliant,High Risk,64.0,7
SUP013,Supplier QRS GmbH,DE,345678912.0,Complete,Invalid,Complete,False,2,345,53000,7.5,0.5,50.0,87.0,Compliant,Accepted,2026-02-15,Compliant,High Risk,68.5,6
SUP009,Auto Components GmbH,DE,123456789.0,Complete,Invalid,Complete,False,2,380,58000,7.5,0.5,50.0,91.0,Compliant,Accepted,2026-02-05,Compliant,High Risk,70.5,5
SUP001,Auto Parts GmbH,DE,123456789.0,Complete,Invalid,Complete,False,2,220,33000,7.5,0.5,50.0,92.0,Compliant,Accepted,2026-01-15,Compliant,High Risk,71.0,4
SUP015,Supplier LMN s.r.o.,SK,456789321.0,Complete,Invalid,Complete,False,2,255,39000,7.0,0.0,100.0,81.0,Compliant,Accepted,2026-02-20,Compliant,Medium Risk,90.5,3
SUP008,Supplier PQR S.L.,ES,789123456.0,Complete,Invalid,Complete,False,2,270,46000,7.0,0.0,100.0,85.0,Compliant,Accepted,2026-02-03,Compliant,Low Risk,92.5,2
SUP005,Supplier GHI GmbH,AT,567891234.0,Complete,Invalid,Complete,False,2,310,52000,6.5,-0.5,100.0,88.0,Compliant,Accepted,2026-01-25,Compliant,Low Risk,94.0,1
